,Address,Balance,Ether_value,Token
0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"2,693,158.877369522185465701 Ether","$724,298,148.48 (@ $268.94/ETH)","$43,337.49"
1,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,"2,201,522.845657376622444548 Ether","$592,077,554.11 (@ $268.94/ETH)","$972,391,367.87"
2,0x742d35cc6634c0532925a3b844bc454e4438f44e,"2,140,144.987488917500000001 Ether","$575,570,592.94 (@ $268.94/ETH)","$760,226,604.60"
3,0xdc76cd25977e0a5ae17155770273ad58648900d3,"1,885,860.525755553677093 Ether","$509,201,200.56 (@ $270.01/ETH)","$61,061.89"
4,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,"1,378,754.144654378911481302 Ether","$372,277,406.60 (@ $270.01/ETH)","$166,680.94"
5,0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,"999,999.014703265377777771 Ether","$270,009,733.96 (@ $270.01/ETH)","$159,973.57"
6,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,"801,052.799959724594886 Ether","$215,435,140.02 (@ $268.94/ETH)","$337,738.70"
7,0x997114ca0830e9bee7443368fa27f4af2d4e55a6,"789,534.621004200000000001 Ether","$212,337,440.97 (@ $268.94/ETH)",$1.10
8,0x66f820a414680b5bcda5eeca5dea238543f42054,"775,000.574169655945276777 Ether","$208,428,654.42 (@ $268.94/ETH)","$404,372,462.56"
9,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,"770,999.002833340000000001 Ether","$207,352,471.82 (@ $268.94/ETH)","$63,545.97"
10,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,"657,334.142686969707175071 Ether","$177,486,791.87 (@ $270.01/ETH)","$14,819.52"
11,0x267f70f9b856de226fea5fc1b0a8e319c72ceff5,"596,867.405964952300991673 Ether","$161,160,168.28 (@ $270.01/ETH)","$339,774.34"
12,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,"595,623.399288773018344492 Ether","$160,824,274.04 (@ $270.01/ETH)","$88,604.22"
13,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,"560,000.00003 Ether","$151,205,600.01 (@ $270.01/ETH)","$67,664.89"
14,0x07ee55aa48bb72dcc6e9d78256648910de513eca,"532,527.711484627140000001 Ether","$143,787,807.38 (@ $270.01/ETH)","$76,136.29"
15,0xc11d52cbb5b19c1802097e448beff8bf35942946,"460,000.308710356867494173 Ether","$124,204,683.35 (@ $270.01/ETH)","$17,693.92"
16,0xe92d1a43df510f82c66382592a047d288f85226f,"450,000.020665726438778778 Ether","$121,504,505.58 (@ $270.01/ETH)","$10,141.27"
17,0x73bceb1cd57c711feac4224d062b0f6ff338501e,"410,238.786772172 Ether","$110,768,574.82 (@ $270.01/ETH)","$7,826.70"
18,0xd273bd546b11bd60214a2f9d71f22a088aafe31b,"400,001.231001001001001001 Ether","$108,004,332.38 (@ $270.01/ETH)",$260.03
19,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,"391,533.453663026736021124 Ether","$105,717,947.82 (@ $270.01/ETH)","$10,854.81"
20,0xd793281182a0e3e023116004778f45c29fc14f19,"387,625.8340460127644 Ether","$104,662,851.45 (@ $270.01/ETH)","$5,155.47"
21,0x231568baa78111377f097bb087241f8379fa18f4,"371,767.813 Ether","$100,381,027.19 (@ $270.01/ETH)","$41,684,086.19"
22,0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,"352,447.684780904 Ether","$95,164,399.37 (@ $270.01/ETH)","$3,465.59"
23,0x850c0224f37f67c471e860375ac8e39fea61e8b0,"346,594.018903857627843313 Ether","$93,583,851.04 (@ $270.01/ETH)","$7,735.81"
24,0xab5801a7d398351b8be11c439e05c5b3259aec9b,"345,003.691484555182911431 Ether","$93,154,446.74 (@ $270.01/ETH)","$48,374.85"
